mir,disease,pmid
hsa-mir-583,Stroke,20529253
hsa-mir-125a,"Diabetes Mellitus, Type 2",20529253
hsa-mir-148a,Prostate Neoplasms,20529253
hsa-mir-423,Obesity,20529253
hsa-mir-484,Obesity,20529253
hsa-mir-486,Obesity,20529253
hsa-mir-532,Obesity,20529253
hsa-mir-92a,Obesity,20529253
hsa-let-7i,Diabetic Nephropathy,20529253
hsa-mir-24,Diabetic Nephropathy,20529253
hsa-mir-27b,Diabetic Nephropathy,20529253
hsa-mir-378,Diabetic Nephropathy,20529253
hsa-mir-203,"Carcinoma, Cervical",20529253
hsa-mir-205,"Carcinoma, Cervical",20529253
hsa-mir-20a,"Carcinoma, Cervical",20529253
hsa-mir-21,"Carcinoma, Cervical",20529253
hsa-mir-485,"Carcinoma, Cervical",20529253
hsa-mir-20a,"Diabetes Mellitus, Type 1",20529253
hsa-mir-30a,"Diabetes Mellitus, Type 2",20529253
hsa-mir-130b,Obesity,20529253
hsa-mir-21,Obesity,20529253
hsa-mir-222,Obesity,20529253
hsa-mir-26a,Parkinson Disease,20529253
hsa-mir-1,Hyperactivity Disorder,20529253
hsa-mir-206,Hyperactivity Disorder,20529253
hsa-mir-741,Hyperactivity Disorder,20529253
hsa-mir-106b,Preeclampsia,20529253
hsa-mir-326,Preeclampsia,20529253
hsa-mir-1260b,Aplastic Anemia,20529253
hsa-mir-155,Aplastic Anemia,20529253
hsa-mir-30a,Heart Diseases [unspecific],20529253
hsa-mir-4306,Heart Diseases [unspecific],20660734
hsa-mir-4508,Heart Diseases [unspecific],20660734
hsa-mir-130,Metabolic Syndrome,20696132
hsa-mir-140,Metabolic Syndrome,20805506
hsa-mir-142,Metabolic Syndrome,20805506
hsa-mir-143,Metabolic Syndrome,20805506
hsa-mir-222,Metabolic Syndrome,20805506
hsa-mir-135b,Colon Neoplasms,20805506
hsa-mir-144,Atopic Dermatitis,20805506
hsa-mir-106b,Behcet Disease,20805506
hsa-mir-25,Behcet Disease,20805506
hsa-mir-326,Behcet Disease,20805506
hsa-mir-93,Behcet Disease,20921333
hsa-mir-339,Amyloidosis,20921333
hsa-mir-9-1,Waldenstrom Macroglobulinemia,20921333
hsa-mir-9-2,Waldenstrom Macroglobulinemia,20921333
hsa-mir-9-3,Waldenstrom Macroglobulinemia,20921333
hsa-mir-296,Colon Neoplasms,21140508
hsa-mir-100,Urinary Bladder Cancer,21140508
hsa-mir-150,Hypertension,21140508
hsa-mir-129-1,"Lymphoma, Large B-Cell, Diffuse",21151203
hsa-mir-129-2,"Lymphoma, Large B-Cell, Diffuse",21154767
hsa-mir-100,"Carcinoma, Hepatocellular",21154767
hsa-mir-124-1,"Leukemia, Myeloid, Acute",21166959
hsa-mir-34a,Gastric Neoplasms,21166959
hsa-mir-146b,"Lymphoma, Large B-Cell, Diffuse",21229610
hsa-mir-320d,"Lymphoma, Large B-Cell, Diffuse",21229610
hsa-mir-19a,Myeloma,21229610
hsa-let-7g,"Squamous Cell Carcinoma, Head and Neck",21242186
hsa-mir-204,"Leukemia, Myeloid, Acute",21242186
hsa-mir-328,"Leukemia, Myeloid, Acute",21242186
hsa-mir-128,Prostate Neoplasms,21242186
hsa-mir-153,"Carcinoma, Lung, Non-Small-Cell",21244495
hsa-mir-17,Preeclampsia,21244495
hsa-mir-204,"Carcinoma, Lung, Non-Small-Cell",21244495
hsa-mir-1,Acute Heart Failure,21244495
hsa-mir-218,"Carcinoma, Hepatocellular",21244495
hsa-mir-100,Bladder Neoplasms,21244495
hsa-mir-215,"Leukemia, Myeloid, Acute",21258252
hsa-mir-199a,Ovarian Neoplasms,21258252
hsa-mir-200a,Choriocarcinoma,21273047
hsa-mir-145,"Carcinoma, Gastric",21274675
hsa-mir-1300,"Carcinoma, Colon",21274675
hsa-mir-939,"Carcinoma, Colon",21274675
hsa-mir-30c,"Carcinoma, Lung, Non-Small-Cell",21303526
hsa-mir-30c,Human Papilloma Virus Infection,21358093
hsa-mir-135a,"Carcinoma, Lung, Non-Small-Cell",21358093
hsa-mir-99a,"Carcinoma, Breast",21358093
hsa-let-7i,"Leukemia, Myeloid, Chronic",21358093
hsa-mir-224,"Leukemia, Myeloid, Chronic",21358093
hsa-mir-19a,Breast Neoplasms,21358093
hsa-mir-122,"Leukemia, Myeloid, Acute",21358093
hsa-mir-451,"Carcinoma, Breast",21358093
hsa-mir-130b,"Carcinoma, Breast",21360638
hsa-mir-151a,"Carcinoma, Breast",21408091
hsa-mir-206,"Carcinoma, Breast",21408091
hsa-mir-222,"Carcinoma, Breast",21408091
hsa-mir-146a,"Leukemia, Myeloid, Acute",21421997
hsa-mir-3667,"Leukemia, Myeloid, Acute",21479190
hsa-mir-1,Chronic Hepatitis C,21479190
hsa-mir-128,Chronic Hepatitis C,21479190
hsa-mir-196,Chronic Hepatitis C,21479190
hsa-mir-30,Chronic Hepatitis C,21479190
hsa-mir-126,Vascular Disease [unspecific],21529448
hsa-mir-103,Prostate Neoplasms,21538484
hsa-mir-222,Prostate Neoplasms,21538484
hsa-mir-191,Colorectal Carcinoma,21538484
hsa-mir-23a,Colorectal Carcinoma,21544802
hsa-mir-451,Colorectal Carcinoma,21551949
hsa-mir-34a,"Carcinoma, Breast",21551949
hsa-mir-145,Chronic Hepatitis,21551949
hsa-mir-208,Viral Myocarditis,21561454
hsa-mir-21,Viral Myocarditis,21561454
hsa-mir-16,Leukemia,21627863
hsa-mir-92a-1,Leukemia,21642241
hsa-mir-92a-2,Leukemia,21642241
hsa-let-7b,Myelodysplastic Syndromes,21642241
hsa-let-7c,Myelodysplastic Syndromes,21642241
hsa-let-7d,Myelodysplastic Syndromes,21649547
hsa-let-7e,Myelodysplastic Syndromes,21649547
hsa-let-7f-1,Myelodysplastic Syndromes,21673684
hsa-let-7f-2,Myelodysplastic Syndromes,21694443
hsa-let-7g,Myelodysplastic Syndromes,21694443
hsa-let-7i,Myelodysplastic Syndromes,21721011
hsa-mir-181a-1,Myelodysplastic Syndromes,21784052
hsa-mir-181a-2,Myelodysplastic Syndromes,21818844
hsa-mir-181b-2,Myelodysplastic Syndromes,21818844
hsa-mir-181c,Myelodysplastic Syndromes,21818844
hsa-mir-181d,Myelodysplastic Syndromes,21820659
hsa-let-7a-1,Ovarian Neoplasms,21820659
hsa-mir-181a,Leukemia,21820659
hsa-mir-125b-1,"Carcinoma, Lung, Non-Small-Cell",21820659
hsa-mir-125b-2,"Carcinoma, Lung, Non-Small-Cell",21820659
hsa-mir-223,"Lymphoma, Large B-Cell, Diffuse",21875645
hsa-mir-150,"Lymphoma, B-Cell",21875645
hsa-mir-15a,Ischemia,21875645
hsa-mir-16-2,"Leukemia-Lymphoma, Adult T-Cell",21881276
hsa-mir-16-1,"Carcinoma, Lung, Non-Small-Cell",21881276
hsa-mir-24,"Carcinoma, Lung, Non-Small-Cell",21881276
hsa-mir-34a,"Carcinoma, Lung, Non-Small-Cell",21881276
hsa-let-7,Prostate Neoplasms,21883400
hsa-mir-155,Idiopathic Pulmonary Fibrosis,21886843
hsa-mir-21,Idiopathic Pulmonary Fibrosis,21886843
hsa-mir-21,Central Nervous System Embryonal Tumor,21886843
hsa-mir-200c,"Carcinoma, Esophageal",21886843
hsa-mir-100,Gastric Neoplasms,21886843
hsa-mir-200c,Colorectal Carcinoma,21886843
hsa-mir-149,Neoplasms [unspecific],21886843
hsa-let-7f,Ovarian Neoplasms,21886843
hsa-mir-31,"Adenocarcinoma, Pancreatic Ductal",21904633
hsa-mir-130,Colorectal Carcinoma,21904633
hsa-mir-216,Colorectal Carcinoma,21904633
hsa-mir-372,Colorectal Carcinoma,21924071
hsa-mir-221,Neoplasms [unspecific],21943159
hsa-mir-223,Intestinal Schistosomiasis,21946200
hsa-mir-19b,"Carcinoma, Lung, Non-Small-Cell",21946200
hsa-mir-103,"Carcinoma, Nasopharyngeal",21946200
hsa-mir-29a,"Carcinoma, Nasopharyngeal",21946200
hsa-mir-1236,"Lymphoma, Large B-Cell, Diffuse",21984948
hsa-mir-224,"Lymphoma, Large B-Cell, Diffuse",21984948
hsa-mir-33a,"Lymphoma, Large B-Cell, Diffuse",21984948
hsa-mir-455,"Lymphoma, Large B-Cell, Diffuse",21984948
hsa-mir-520d,"Lymphoma, Large B-Cell, Diffuse",21984948
hsa-let-7c,Breast Neoplasms,21984948
hsa-mir-139,Breast Neoplasms,21984948
hsa-mir-320d,Breast Neoplasms,21984948
hsa-mir-567,Breast Neoplasms,21984948
hsa-mir-29a,"Carcinoma, Lung, Non-Small-Cell",22037148
hsa-mir-376a,"Carcinoma, Lung, Non-Small-Cell",22045190
hsa-mir-424,"Carcinoma, Lung, Non-Small-Cell",22045675
hsa-mir-500a,"Carcinoma, Lung, Non-Small-Cell",22053279
hsa-mir-502,"Carcinoma, Lung, Non-Small-Cell",22069274
hsa-mir-542,"Carcinoma, Lung, Non-Small-Cell",22095477
hsa-let-7a,Diabetes Mellitus,22099053
hsa-mir-324,Colorectal Carcinoma,22099053
hsa-mir-345,Colorectal Carcinoma,22120965
hsa-mir-628,Colorectal Carcinoma,22120965
hsa-mir-886,Colorectal Carcinoma,22120965
hsa-mir-218,Gastric Neoplasms,22120965
hsa-mir-105,Pelvic Inflammatory Disease,22133505
hsa-mir-132,Pelvic Inflammatory Disease,22135162
hsa-mir-135a,Pelvic Inflammatory Disease,22135162
hsa-mir-142,Pelvic Inflammatory Disease,22143896
hsa-mir-147,Pelvic Inflammatory Disease,22143896
hsa-mir-155,Pelvic Inflammatory Disease,22153007
hsa-mir-223,Pelvic Inflammatory Disease,22153007
hsa-mir-298,Pelvic Inflammatory Disease,22187671
hsa-mir-299a,Pelvic Inflammatory Disease,22187671
hsa-mir-325,Pelvic Inflammatory Disease,22187671
hsa-mir-410,Pelvic Inflammatory Disease,22187671
hsa-mir-133b,Osteosarcoma,22187671
hsa-mir-206,Osteosarcoma,22187671
hsa-mir-146a,"Leukemia, Promyelocytic, Acute",22187671
hsa-mir-145,"Adenocarcinoma, Lung",22187671
hsa-mir-221,Lymphoma,22187671
hsa-mir-155,Colorectal Carcinoma,22187671
hsa-mir-15a,Glioma,22187671
hsa-mir-718,"Carcinoma, Hepatocellular",22187671
hsa-mir-224,Graves Ophthalmopathy,22187671
hsa-mir-128-2,"Carcinoma, Hepatocellular",22231906
hsa-let-7i,Colorectal Carcinoma,22231906
hsa-mir-10b,Colorectal Carcinoma,22231906
hsa-mir-320a,Colorectal Carcinoma,22231906
hsa-mir-885,Colorectal Carcinoma,22231906
hsa-mir-224,"Carcinoma, Hepatocellular",22242178
hsa-mir-214,"Lymphoma, Large B-Cell, Diffuse",22242178
hsa-mir-28,"Lymphoma, Large B-Cell, Diffuse",22242178
hsa-mir-339,"Lymphoma, Large B-Cell, Diffuse",22242178
hsa-mir-5586,"Lymphoma, Large B-Cell, Diffuse",22242178
hsa-mir-210,"Adenocarcinoma, Lung",22242178
hsa-mir-210,Melanoma,22242178
hsa-mir-208a,Breast Neoplasms,22242178
hsa-mir-126,Intermittent Claudication,22242178
hsa-mir-10,"Leukemia, Myeloid, Acute",22242178
hsa-mir-106a,Colorectal Carcinoma,22242178
hsa-mir-101,Pleural Mesothelioma,22242178
hsa-mir-191,Pleural Mesothelioma,22242178
hsa-mir-223,Pleural Mesothelioma,22253921
hsa-mir-25,Pleural Mesothelioma,22253921
hsa-mir-26b,Pleural Mesothelioma,22335948
hsa-mir-29a,Pleural Mesothelioma,22335948
hsa-mir-335,Pleural Mesothelioma,22335948
hsa-mir-433,Pleural Mesothelioma,22350790
hsa-mir-516,Pleural Mesothelioma,22350790
hsa-mir-224,Lymphoma,22350790
hsa-mir-124,Toxic Epidermal Necrolysis,22354855
hsa-mir-4728,Breast Neoplasms,22370881
hsa-mir-200c,Malignant Neoplasms [unspecific],22386737
hsa-mir-122,Autoimmune Hepatitis,22386737
hsa-mir-21,Autoimmune Hepatitis,22386737
hsa-mir-27a,Sepsis,22386737
hsa-mir-197,Coronary Artery Disease,22386737
hsa-mir-455,"Squamous Cell Carcinoma, Head and Neck",22386737
hsa-let-7,Lung Neoplasms,22386737
hsa-let-7,Chronic Hepatitis C,22386737
hsa-mir-29a,Acquired Immunodeficiency Syndrome,22386737
hsa-mir-29a,Human Immunodeficiency Virus Infection,22386737
hsa-mir-181d,Pancreatic Neoplasms,22386737
hsa-mir-106b,Ependymoma,22386737
hsa-mir-196b,Gastric Neoplasms,22386737
hsa-mir-484,"Carcinoma, Thyroid, Follicular",22387599
hsa-mir-1296,"Carcinoma, Colon",22387599
hsa-mir-135b,"Carcinoma, Colon",22387599
hsa-mir-185,"Carcinoma, Colon",22387599
hsa-mir-539,"Carcinoma, Colon",22387599
hsa-mir-572,"Carcinoma, Colon",22387599
hsa-mir-592,"Carcinoma, Colon",22387599
hsa-mir-516a,Breast Neoplasms,22387901
hsa-mir-18a,Retinoblastoma,22391115
hsa-mir-6826,"Carcinoma, Colon",22391115
hsa-mir-6875,"Carcinoma, Colon",22391115
hsa-let-7i,"Carcinoma, Breast",22391115
hsa-mir-140,"Carcinoma, Breast",22391115
hsa-mir-200c,"Carcinoma, Breast",22391115
hsa-mir-25,"Carcinoma, Breast",22391115
hsa-mir-30a,"Carcinoma, Breast",22391115
hsa-mir-30c,"Carcinoma, Breast",22391115
hsa-mir-320a,"Carcinoma, Breast",22391115
hsa-mir-361,"Carcinoma, Breast",22391115
hsa-mir-651,"Carcinoma, Breast",22391115
hsa-mir-101,Heart Transplant Rejection,22391115
hsa-mir-142,Heart Transplant Rejection,22391115
hsa-mir-33a,"Carcinoma, Lung, Non-Small-Cell",22391115
hsa-let-7b,Multiple Myeloma,22391115
hsa-mir-18a,Multiple Myeloma,22391115
hsa-mir-106a,Glioblastoma,22395025
hsa-mir-145,Glioblastoma,22403344
hsa-mir-182,Glioblastoma,22403344
hsa-mir-20a,Glioblastoma,22403344
hsa-mir-1274a,"Carcinoma, Ovarian",22403344
hsa-mir-141,"Carcinoma, Ovarian",22440013
hsa-mir-200c,"Carcinoma, Ovarian",22440013
hsa-mir-200,Neoplasms [unspecific],22440013
hsa-mir-192,"Carcinoma, Periampullary",22440013
hsa-mir-122,"Lymphoma, Hodgkin",22440013
hsa-mir-144,"Lymphoma, Hodgkin",22440013
hsa-mir-212,"Lymphoma, Hodgkin",22440013
hsa-mir-23b,"Lymphoma, Hodgkin",22440013
hsa-mir-510,"Lymphoma, Hodgkin",22440013
hsa-mir-1,Atrial Fibrillation,22440013
hsa-mir-23a,Atrial Fibrillation,22440013
hsa-mir-26a,Atrial Fibrillation,22440013
hsa-mir-21,Preeclampsia,22440013
hsa-mir-192,"Carcinoma, Urothelial",22440013
hsa-mir-518b,"Carcinoma, Urothelial",22440013
hsa-mir-7705,"Carcinoma, Urothelial",22440013
hsa-mir-181a,"Leukemia, Myeloid, Acute",22440013
hsa-mir-122,"Carcinoma, Breast",22440013
hsa-mir-125b,"Carcinoma, Breast",22440013
hsa-mir-126,"Carcinoma, Breast",22440013
hsa-mir-19a,"Carcinoma, Breast",22447484
hsa-mir-29c,"Carcinoma, Breast",22447484
hsa-mir-92-1,"Carcinoma, Breast",22447484
hsa-mir-148a,"Carcinoma, Hepatocellular",22447484
hsa-mir-126,Aplastic Anemia,22447484
hsa-mir-215,Lung Neoplasms,22447484
hsa-mir-411,Lung Neoplasms,22447484
hsa-mir-493,Lung Neoplasms,22456238
hsa-mir-494,Lung Neoplasms,22472564
hsa-mir-495,Lung Neoplasms,22472564
hsa-mir-548j,Lung Neoplasms,22472564
hsa-mir-93,Lung Neoplasms,22472564
hsa-mir-3662,"Leukemia-Lymphoma, Adult T-Cell",22487708
hsa-mir-142,Coronary Artery Disease,22513294
hsa-mir-125b,"Carcinoma, Pancreatic",22513294
hsa-mir-21,Liver Cirrhosis,22513294
hsa-mir-200a,Colon Neoplasms,22542158
hsa-mir-200c,Colon Neoplasms,22542158
hsa-mir-429,Colon Neoplasms,22542158
hsa-mir-328,Colorectal Carcinoma,22542158
hsa-mir-342,Colorectal Carcinoma,22542158
hsa-mir-501,Colorectal Carcinoma,22542158
hsa-mir-1202,Depression Disorder,22542158
hsa-mir-135a,Depression Disorder,22542158
hsa-mir-16,Depression Disorder,22542158
hsa-mir-27b,"Carcinoma, Lung, Non-Small-Cell",22542158
hsa-mir-326,"Carcinoma, Lung, Non-Small-Cell",22587332
hsa-mir-125a,"Leukemia, Lymphocytic, Chronic, B-Cell",22587332
hsa-mir-181a,"Leukemia, Lymphoblastic, Acute",22587332
hsa-mir-29b,Encephalitis,22587332
hsa-mir-125b-1,Rectal Neoplasms,22588912
hsa-mir-125b-2,Rectal Neoplasms,22588912
hsa-mir-137,Rectal Neoplasms,22588912
hsa-mir-211,"Carcinoma, Oral",22588912
hsa-mir-155,Waldenstrom Macroglobulinemia,22617246
hsa-mir-184,Waldenstrom Macroglobulinemia,22683424
hsa-mir-206,Waldenstrom Macroglobulinemia,22719221
hsa-mir-363,Waldenstrom Macroglobulinemia,22719221
hsa-mir-494,Waldenstrom Macroglobulinemia,22799367
hsa-mir-542,Waldenstrom Macroglobulinemia,22821209
hsa-mir-141,Colorectal Carcinoma,22821209
hsa-mir-200c,Lung Neoplasms,22821209
hsa-mir-663a,"Leukemia, Myeloid, Acute",22860003
hsa-mir-183,Lung Neoplasms,22860003
hsa-mir-96,Lung Neoplasms,22865399
hsa-mir-210,Lymphoma,22868372
hsa-let-7d,Glioblastoma,22882958
hsa-mir-155,Acute Myocardial Infarction,22884882
hsa-mir-380,Acute Myocardial Infarction,22887127
hsa-mir-100,"Leukemia, Myeloid, Acute",22887127
hsa-mir-200c,"Lymphoma, Large B-Cell, Diffuse",22887127
hsa-mir-221,"Leukemia, Lymphoblastic, Acute",22887127
hsa-mir-146b,Prostate Neoplasms,22887127
hsa-mir-194,Prostate Neoplasms,22887127
hsa-mir-375,"Leukemia, Myeloid, Acute",22887127
hsa-mir-27a,Neoplasms [unspecific],22887127
hsa-mir-210,Aortic Stenosis,22887127
hsa-mir-7,Prostate Neoplasms,22887127
hsa-mir-183,Colorectal Carcinoma,22887127
hsa-mir-24,"Leukemia, Acute",22887127
hsa-mir-18a,"Squamous Cell Carcinoma, Head and Neck",22891879
hsa-mir-18b,Lymphoma,22892455
hsa-mir-183,Tuberculosis,22906258
hsa-mir-206,Myotonic Muscular Dystrophy,22927033
hsa-mir-155,Bladder Neoplasms,22927033
hsa-mir-18,Colorectal Carcinoma,22927033
hsa-mir-19b-1,Colorectal Carcinoma,22937028
hsa-mir-92-1,Colorectal Carcinoma,22952344
hsa-mir-183,Kidney Neoplasms,22952344
hsa-mir-551b,"Leukemia, Myeloid, Acute",22952344
hsa-mir-483,"Adenocarcinoma, Pancreatic Ductal",22952344
hsa-mir-141,Malignant Neoplasms [unspecific],22952344
hsa-mir-34a,"Lymphoma, B-Cell",22952344
hsa-mir-125b,"Lymphoma, Large B-Cell",22952344
hsa-mir-17,"Lymphoma, Burkitt",22954417
hsa-mir-20a,"Lymphoma, Burkitt",22956063
hsa-mir-125b,Rectum Adenocarcinoma,22956063
hsa-mir-29c,Diabetic Nephropathy,22956063
hsa-mir-21,"Carcinoma, Urothelial",22956063
hsa-mir-1260b,Colorectal Carcinoma,23070235
hsa-mir-10b,Pancreatic Adenocarcinoma,23199328
hsa-mir-522,"Carcinoma, Hepatocellular",23224754
hsa-mir-18b,"Carcinoma, Colon",23264652
hsa-mir-302a,"Carcinoma, Colon",23264652
hsa-mir-423,"Carcinoma, Colon",23272653
hsa-mir-523,"Carcinoma, Colon",23272653
hsa-mir-582,"Carcinoma, Colon",23272653
hsa-mir-888,"Carcinoma, Colon",23287814
hsa-mir-101,"Carcinoma, Hepatocellular",23339529
hsa-mir-181c,Cholangiocarcinoma,23372341
hsa-mir-126,Diabetic Foot,23372341
hsa-mir-21,B-cell Childhood Acute Lymphoblastic Leukemia,23377530
hsa-mir-146b,"Leukemia, Myeloid, Acute",23388090
hsa-mir-146b,Breast Neoplasms,23388090
hsa-mir-15a,Breast Neoplasms,23388090
hsa-mir-181b,Breast Neoplasms,23388090
hsa-mir-155,Stevens-Johnson Syndrome,23388090
hsa-mir-133b,Atrial Fibrillation,23388090
hsa-mir-499,Atrial Fibrillation,23401079
hsa-mir-103a,"Diabetes Mellitus, Type 1",23401079
hsa-mir-155,"Diabetes Mellitus, Type 1",23438607
hsa-mir-200a,"Diabetes Mellitus, Type 1",23712358
hsa-mir-502,Aneurysmal Subarachnoid Hemorrhage,23712358
hsa-mir-20a,"Carcinoma, Breast",23727030
hsa-mir-126,Osteoarthritis,23727030
hsa-mir-320a,Osteoarthritis,23727030
hsa-mir-509,"Leukemia, Myeloid, Acute",23727030
hsa-mir-542,"Leukemia, Myeloid, Acute",23743335
hsa-mir-1273g,Ovarian Neoplasms,23895045
hsa-mir-183,Major Depressive Disorder,23895045
hsa-mir-212,Major Depressive Disorder,23895045
hsa-mir-1246,Plasmodium Falciparum Malaria,23895045
hsa-mir-3135b,Plasmodium Falciparum Malaria,23895045
hsa-mir-3613,Plasmodium Falciparum Malaria,23895238
hsa-mir-6126,Plasmodium Falciparum Malaria,23895238
hsa-mir-6780b,Plasmodium Falciparum Malaria,23898484
hsa-mir-195,"Carcinoma, Hepatocellular",23898484
hsa-mir-127,Colon Neoplasms,23933230
hsa-mir-127,Prostate Neoplasms,24023848
hsa-mir-127,Urinary Bladder Cancer,24048453
hsa-mir-29a,Lung Neoplasms,24048721
hsa-mir-29b,Lung Neoplasms,24120842
hsa-mir-29b-1,Lung Neoplasms,24120842
hsa-mir-29c,Lung Neoplasms,24135466
hsa-mir-1,Cardiomegaly,24161319
hsa-mir-34a,Neoplasms [unspecific],24190459
hsa-mir-34b,Neoplasms [unspecific],24253456
hsa-mir-34c,Neoplasms [unspecific],24253456
hsa-mir-9-1,Neoplasms [unspecific],24259014
hsa-mir-9-2,Neoplasms [unspecific],24259014
hsa-mir-9-3,Neoplasms [unspecific],24284386
hsa-mir-126,Neoplasms [unspecific],24342208
hsa-mir-29b-1,"Leukemia, Myeloid, Acute",24482699
hsa-mir-29b-2,"Leukemia, Myeloid, Acute",24482699
hsa-mir-512,Gastric Neoplasms,24533739
hsa-mir-124-1,"Carcinoma, Hepatocellular",24553149
hsa-mir-124-2,"Carcinoma, Hepatocellular",24553149
hsa-mir-124-3,"Carcinoma, Hepatocellular",24556821
hsa-mir-203,"Carcinoma, Hepatocellular",24593209
hsa-mir-212,Gastric Neoplasms,24641951
hsa-mir-193b,Prostate Neoplasms,24641951
hsa-mir-181c,Gastric Neoplasms,24651474
hsa-mir-137,"Squamous Cell Carcinoma, Oral",24651474
hsa-mir-124-1,Myelodysplastic Syndromes,24651474
hsa-mir-124-2,Myelodysplastic Syndromes,24651474
hsa-mir-124-3,Myelodysplastic Syndromes,24651474
hsa-mir-152,"Carcinoma, Hepatocellular",24651474
hsa-mir-181b-1,Inflammation,24651474
hsa-mir-181b-1,Neoplasms [unspecific],24659142
hsa-mir-21,Inflammation,24680405
hsa-mir-34b,Gastric Neoplasms,24680405
hsa-mir-34c,Gastrointestinal Neoplasms,24687380
hsa-mir-212,Gastrointestinal Neoplasms,24687380
hsa-mir-1224,Urinary Bladder Cancer,24687380
hsa-mir-1227,Urinary Bladder Cancer,24778027
hsa-mir-1229,Urinary Bladder Cancer,24786924
hsa-mir-149,Urinary Bladder Cancer,24848278
hsa-mir-210,Urinary Bladder Cancer,24927876
hsa-mir-212,Urinary Bladder Cancer,24927876
hsa-mir-328,Urinary Bladder Cancer,24931100
hsa-mir-503,Urinary Bladder Cancer,24956938
hsa-mir-9-1,Urinary Bladder Cancer,25093848
hsa-mir-9-2,Urinary Bladder Cancer,25098165
hsa-mir-9-3,Urinary Bladder Cancer,25124998
hsa-mir-373,Cholangiocarcinoma,25124998
hsa-mir-34a,"Carcinoma, Renal Cell",25128511
hsa-mir-34a,Sarcoma [unspecific],25130371
hsa-mir-34a,Urinary Bladder Cancer,25178939
hsa-mir-34b,Breast Neoplasms,25225581
hsa-mir-34b,"Carcinoma, Renal Cell",25236768
hsa-mir-34b,Ovarian Neoplasms,25258651
hsa-mir-34b,Pancreatic Neoplasms,25258651
hsa-mir-34b,Sarcoma [unspecific],25333260
hsa-mir-34b,Urinary Bladder Cancer,25364765
hsa-mir-34c,Breast Neoplasms,25384963
hsa-mir-34c,"Carcinoma, Renal Cell",25384963
hsa-mir-34c,Ovarian Neoplasms,25433287
hsa-mir-34c,Pancreatic Neoplasms,25461662
hsa-mir-34c,Sarcoma [unspecific],25510566
hsa-mir-34c,Urinary Bladder Cancer,25531302
hsa-mir-196b,Prostate Neoplasms,25589731
hsa-mir-29b-1,Atherosclerosis,25589731
hsa-mir-29b-2,Atherosclerosis,25625292
hsa-mir-200b,Neoplasms [unspecific],25643195
hsa-mir-199a-1,Breast Neoplasms,25643195
hsa-mir-199a-1,"Carcinoma, Lung, Non-Small-Cell",25644077
hsa-mir-199a-1,Colorectal Carcinoma,25687041
hsa-mir-199a-2,Breast Neoplasms,25697638
hsa-mir-199a-2,"Carcinoma, Lung, Non-Small-Cell",25697638
hsa-mir-199a-2,Colorectal Carcinoma,25726255
hsa-mir-199b,Breast Neoplasms,25726255
hsa-mir-199b,"Carcinoma, Lung, Non-Small-Cell",25726255
hsa-mir-199b,Colorectal Carcinoma,25736690
hsa-mir-203,"Leukemia, Myeloid, Acute",25779071
hsa-mir-1-1,Colorectal Carcinoma,25779071
hsa-mir-1-1,Endometrial Neoplasms,25784212
hsa-mir-1-1,Gastrointestinal Neoplasms,25790297
hsa-mir-124-1,Colorectal Carcinoma,25837765
hsa-mir-124-1,Endometrial Neoplasms,25869877
hsa-mir-124-1,Gastrointestinal Neoplasms,25894267
hsa-mir-124-2,Colorectal Carcinoma,25894267
hsa-mir-124-2,Endometrial Neoplasms,25894267
hsa-mir-124-2,Gastrointestinal Neoplasms,25903466
hsa-mir-124-3,Colorectal Carcinoma,25903466
hsa-mir-124-3,Endometrial Neoplasms,25922707
hsa-mir-124-3,Gastrointestinal Neoplasms,25948209
hsa-mir-148a,Colorectal Carcinoma,25966174
hsa-mir-148a,Endometrial Neoplasms,25991015
hsa-mir-148a,Gastrointestinal Neoplasms,26101645
hsa-mir-152,Colorectal Carcinoma,26157120
hsa-mir-152,Endometrial Neoplasms,26164649
hsa-mir-152,Gastrointestinal Neoplasms,26171195
hsa-mir-18b,Colorectal Carcinoma,26173148
hsa-mir-18b,Endometrial Neoplasms,26173148
hsa-mir-18b,Gastrointestinal Neoplasms,26173148
hsa-mir-200a,Colorectal Carcinoma,26173148
hsa-mir-200a,Endometrial Neoplasms,26175178
hsa-mir-200a,Gastrointestinal Neoplasms,26175178
hsa-mir-208a,Colorectal Carcinoma,26183697
hsa-mir-208a,Endometrial Neoplasms,26183697
hsa-mir-208a,Gastrointestinal Neoplasms,26198441
hsa-mir-145,Prostate Neoplasms,26198874
hsa-mir-124-1,Gastric Neoplasms,26221263
hsa-mir-124-2,Gastric Neoplasms,26223376
hsa-mir-124-3,Gastric Neoplasms,26223376
hsa-mir-34b,"Carcinoma, Lung, Non-Small-Cell",26229086
hsa-mir-34c,"Carcinoma, Lung, Non-Small-Cell",26229086
hsa-mir-199a-1,Testicular Neoplasms,26248417
hsa-mir-199a-2,Testicular Neoplasms,26316141
hsa-mir-193a,"Leukemia, Myeloid, Acute",26338824
hsa-mir-137,"Squamous Cell Carcinoma, Head and Neck",26380927
hsa-mir-203,Urinary Bladder Cancer,26395742
hsa-mir-181a-2,"Carcinoma, Hepatocellular",26406411
hsa-mir-181b-1,"Carcinoma, Hepatocellular",26406942
hsa-mir-181b-2,"Carcinoma, Hepatocellular",26416421
hsa-mir-181c,"Carcinoma, Hepatocellular",26434860
