bacterial infections and mycoses,['c01']
granulosa cell tumor,"['c04.557.475.750.656', 'c04.588.322.455.398', 'c13.351.500.056.630.705.398', 'c13.351.937.418.685.398', 'c19.344.410.398', 'c19.391.630.705.398']"
luteoma,"['c04.557.475.750.751', 'c04.588.322.455.464', 'c13.351.500.056.630.705.464', 'c13.351.937.418.685.464', 'c19.344.410.464', 'c19.391.630.705.464']"
sertoli-leydig cell tumor,"['c04.557.475.750.847', 'c04.588.322.455.648', 'c04.588.322.762.500', 'c04.588.945.440.915.500', 'c12.294.260.937.500', 'c12.758.409.937.500', 'c13.351.500.056.630.705.648', 'c13.351.937.418.685.648', 'c19.344.410.648', 'c19.344.762.500', 'c19.391.630.705.648', 'c19.391.829.782.500']"
leydig cell tumor,"['c04.557.475.750.847.249', 'c04.588.322.762.500.249', 'c04.588.945.440.915.500.249', 'c12.294.260.937.500.249', 'c12.758.409.937.500.249', 'c19.344.762.500.249', 'c19.391.829.782.500.249']"
sertoli cell tumor,"['c04.557.475.750.847.500', 'c04.588.322.762.500.500', 'c04.588.945.440.915.500.500', 'c12.294.260.937.500.500', 'c12.758.409.937.500.500', 'c19.344.762.500.500', 'c19.391.829.782.500.500']"
thecoma,"['c04.557.475.750.875', 'c04.588.322.455.765', 'c13.351.500.056.630.705.765', 'c13.351.937.418.685.765', 'c19.344.410.765', 'c19.391.630.705.765']"
"neoplasms, nerve tissue",['c04.557.580']
meningioma,"['c04.557.580.520', 'c04.557.645.520', 'c04.588.614.250.580.500', 'c10.551.240.500.500']"
nerve sheath neoplasms,"['c04.557.580.600', 'c10.551.775.500', 'c10.668.829.725.500']"
neurofibroma,"['c04.557.580.600.580', 'c10.551.775.500.750', 'c10.668.829.725.500.600']"
"neurofibroma, plexiform","['c04.557.580.600.580.585', 'c10.551.775.500.750.500', 'c10.668.829.725.500.600.500']"
neurofibromatoses,"['c04.557.580.600.580.590', 'c04.700.645', 'c10.562.600', 'c10.574.500.549', 'c16.320.400.560', 'c16.320.700.645']"
neurofibromatosis 1,"['c04.557.580.600.580.590.650', 'c04.700.645.650', 'c10.562.600.500', 'c10.574.500.549.400', 'c10.668.829.675', 'c16.320.400.560.400', 'c16.320.700.645.650']"
neuroma,['c04.557.580.600.610']
"neoplasms, plasma cell",['c04.557.595']
multiple myeloma,"['c04.557.595.500', 'c14.907.454.460', 'c15.378.147.780.650', 'c15.378.463.515.460', 'c20.683.515.845', 'c20.683.780.650']"
plasmacytoma,"['c04.557.595.600', 'c20.683.515.880']"
waldenstrom macroglobulinemia,"['c04.557.595.925', 'c14.907.454.960', 'c15.378.147.780.925', 'c15.378.463.515.960', 'c15.604.515.925', 'c20.683.780.925']"
"neoplasms, vascular tissue",['c04.557.645']
angiofibroma,['c04.557.645.100']
angiokeratoma,['c04.557.645.115']
glomus tumor,['c04.557.645.350']
hemangioma,['c04.557.645.375']
central nervous system venous angioma,"['c04.557.645.375.185', 'c10.500.190.100', 'c14.240.850.875.124', 'c16.131.666.190.100']"
hemangioendothelioma,['c04.557.645.375.370']
"hemangioendothelioma, epithelioid",['c04.557.645.375.370.380']
"hemangioma, capillary",['c04.557.645.375.380']
hemangioblastoma,['c04.557.645.375.380.370']
"hemangioma, cavernous","['c04.557.645.375.385', 'c14.907.454.385', 'c15.378.463.515.385']"
"hemangioma, cavernous, central nervous system","['c04.557.645.375.385.500', 'c10.500.190.200', 'c14.240.850.875.249', 'c14.907.454.385.500', 'c15.378.463.515.385.500', 'c16.131.666.190.200']"
kasabach-merritt syndrome,"['c04.557.645.375.617', 'c15.378.140.855.645']"
sturge-weber syndrome,"['c04.557.645.375.850', 'c10.562.800', 'c14.907.077.850']"
hemangiopericytoma,['c04.557.645.380']
nevi and melanomas,['c04.557.665']
nevus,['c04.557.665.560']
dysplastic nevus syndrome,"['c04.557.665.560.260', 'c04.700.305', 'c16.320.700.305']"
"nevus, halo",['c04.557.665.560.580']
"nevus, intradermal",['c04.557.665.560.590']
"nevus, pigmented",['c04.557.665.560.615']
mongolian spot,['c04.557.665.560.615.530']
"nevus, blue",['c04.557.665.560.615.550']
nevus of ota,['c04.557.665.560.615.585']
"nevus, spindle cell",['c04.557.665.560.615.625']
"nevus, epithelioid and spindle cell",['c04.557.665.560.615.625.585']
"nevus, sebaceous of jadassohn","['c04.557.665.560.700', 'c10.562.700', 'c16.131.077.633']"
odontogenic tumors,['c04.557.695']
ameloblastoma,['c04.557.695.065']
cementoma,['c04.557.695.210']
"odontogenic tumor, squamous",['c04.557.695.607']
odontoma,['c04.557.695.610']
neoplasms by site,['c04.588']
abdominal neoplasms,['c04.588.033']
peritoneal neoplasms,"['c04.588.033.513', 'c04.588.274.780', 'c06.301.780', 'c06.844.620']"
retroperitoneal neoplasms,['c04.588.033.731']
sister mary joseph's nodule,['c04.588.033.740']
anal gland neoplasms,"['c04.588.083', 'c04.588.274.476.411.307.790.040.040', 'c06.301.371.411.307.790.040.040', 'c06.405.249.411.307.790.040.040', 'c06.405.469.491.307.790.040.040', 'c06.405.469.860.101.163.083', 'c06.405.469.860.180.500.040.040', 'c22.073']"
bone neoplasms,"['c04.588.149', 'c05.116.231']"
adamantinoma,"['c04.588.149.030', 'c05.116.231.030']"
femoral neoplasms,"['c04.588.149.276', 'c05.116.231.343']"
skull neoplasms,"['c04.588.149.721', 'c05.116.231.754']"
jaw neoplasms,"['c04.588.149.721.450', 'c05.116.231.754.450', 'c05.500.499', 'c07.320.515']"
mandibular neoplasms,"['c04.588.149.721.450.583', 'c05.116.231.754.450.583', 'c05.500.499.583', 'c05.500.607.442', 'c07.320.515.583', 'c07.320.610.583']"
maxillary neoplasms,"['c04.588.149.721.450.601', 'c05.116.231.754.450.601', 'c05.500.499.601', 'c05.500.693.528', 'c07.320.515.601', 'c07.320.660.601']"
palatal neoplasms,"['c04.588.149.721.450.692', 'c04.588.443.591.692', 'c05.116.231.754.450.692', 'c05.500.499.692', 'c07.320.515.692', 'c07.465.565.692']"
nose neoplasms,"['c04.588.149.721.600', 'c04.588.443.665.650', 'c05.116.231.754.600', 'c08.460.669', 'c08.785.600', 'c09.603.669', 'c09.647.685']"
orbital neoplasms,"['c04.588.149.721.656', 'c04.588.364.659', 'c05.116.231.754.659', 'c11.319.457', 'c11.675.659']"
skull base neoplasms,"['c04.588.149.721.828', 'c05.116.231.754.829']"
spinal neoplasms,"['c04.588.149.828', 'c05.116.231.828', 'c05.116.900.801']"
breast neoplasms,"['c04.588.180', 'c17.800.090.500']"
"breast neoplasms, male","['c04.588.180.260', 'c17.800.090.500.260']"
hereditary breast and ovarian cancer syndrome,"['c04.588.180.483', 'c04.588.322.455.431', 'c04.700.517', 'c13.351.500.056.630.705.431', 'c13.351.937.418.685.431', 'c16.320.700.517', 'c17.800.090.500.483', 'c19.344.410.431', 'c19.391.630.705.431']"
inflammatory breast neoplasms,"['c04.588.180.576', 'c17.800.090.500.576']"
digestive system neoplasms,"['c04.588.274', 'c06.301']"
biliary tract neoplasms,"['c04.588.274.120', 'c06.130.320', 'c06.301.120']"
bile duct neoplasms,"['c04.588.274.120.250', 'c06.130.120.120', 'c06.130.320.120', 'c06.301.120.250']"
common bile duct neoplasms,"['c04.588.274.120.250.250', 'c06.130.120.120.280', 'c06.130.120.250.280', 'c06.130.320.120.280', 'c06.301.120.250.250']"
gallbladder neoplasms,"['c04.588.274.120.401', 'c06.130.320.401', 'c06.130.564.401', 'c06.301.120.401']"
gastrointestinal neoplasms,"['c04.588.274.476', 'c06.301.371', 'c06.405.249']"
esophageal neoplasms,"['c04.588.274.476.205', 'c04.588.443.353', 'c06.301.371.205', 'c06.405.117.430', 'c06.405.249.205']"
intestinal neoplasms,"['c04.588.274.476.411', 'c06.301.371.411', 'c06.405.249.411', 'c06.405.469.491']"
cecal neoplasms,"['c04.588.274.476.411.184', 'c06.301.371.411.184', 'c06.405.249.411.184', 'c06.405.469.110.417', 'c06.405.469.491.184']"
appendiceal neoplasms,"['c04.588.274.476.411.184.290', 'c06.301.371.411.184.290', 'c06.405.249.411.184.290', 'c06.405.469.110.417.290', 'c06.405.469.491.184.290']"
colorectal neoplasms,"['c04.588.274.476.411.307', 'c06.301.371.411.307', 'c06.405.249.411.307', 'c06.405.469.158.356', 'c06.405.469.491.307', 'c06.405.469.860.180']"
colonic neoplasms,"['c04.588.274.476.411.307.180', 'c06.301.371.411.307.180', 'c06.405.249.411.307.180', 'c06.405.469.158.356.180', 'c06.405.469.491.307.180']"
sigmoid neoplasms,"['c04.588.274.476.411.307.180.800', 'c06.301.371.411.307.180.800', 'c06.405.249.411.307.180.800', 'c06.405.469.158.356.180.800', 'c06.405.469.158.850.850', 'c06.405.469.491.307.180.800']"
"colorectal neoplasms, hereditary nonpolyposis","['c04.588.274.476.411.307.190', 'c04.700.250', 'c06.301.371.411.307.190', 'c06.405.249.411.307.190', 'c06.405.469.158.356.190', 'c06.405.469.491.307.190', 'c16.320.700.250', 'c18.452.284.255']"
rectal neoplasms,"['c04.588.274.476.411.307.790', 'c06.301.371.411.307.790', 'c06.405.249.411.307.790', 'c06.405.469.491.307.790', 'c06.405.469.860.180.500']"
anus neoplasms,"['c04.588.274.476.411.307.790.040', 'c06.301.371.411.307.790.040', 'c06.405.249.411.307.790.040', 'c06.405.469.491.307.790.040', 'c06.405.469.860.101.163', 'c06.405.469.860.180.500.040']"
duodenal neoplasms,"['c04.588.274.476.411.445', 'c06.301.371.411.445', 'c06.405.249.411.445', 'c06.405.469.275.270', 'c06.405.469.491.445']"
ileal neoplasms,"['c04.588.274.476.411.501', 'c06.301.371.411.501', 'c06.405.249.411.501', 'c06.405.469.420.501', 'c06.405.469.491.501']"
jejunal neoplasms,"['c04.588.274.476.411.523', 'c06.301.371.411.523', 'c06.405.249.411.523', 'c06.405.469.491.523', 'c06.405.469.600.523']"
stomach neoplasms,"['c04.588.274.476.767', 'c06.301.371.767', 'c06.405.249.767', 'c06.405.748.789']"
liver neoplasms,"['c04.588.274.623', 'c06.301.623', 'c06.552.697']"
"liver neoplasms, experimental","['c04.588.274.623.460', 'c04.619.540', 'c06.301.623.460', 'c06.552.697.580']"
pancreatic neoplasms,"['c04.588.274.761', 'c04.588.322.421', 'c06.301.761', 'c06.689.667', 'c19.344.421']"
endocrine gland neoplasms,"['c04.588.322', 'c19.344']"
adrenal gland neoplasms,"['c04.588.322.078', 'c19.053.347', 'c19.344.078']"
adrenal cortex neoplasms,"['c04.588.322.078.265', 'c19.053.098.265', 'c19.053.347.500', 'c19.344.078.265']"
adrenocortical adenoma,"['c04.588.322.078.265.500', 'c19.053.098.265.500', 'c19.053.347.500.500', 'c19.344.078.265.500']"
multiple endocrine neoplasia,"['c04.588.322.400', 'c04.651.600', 'c04.700.630', 'c16.320.700.630', 'c19.344.400']"
multiple endocrine neoplasia type 1,"['c04.588.322.400.500', 'c04.651.600.500', 'c04.700.630.500', 'c16.320.700.630.500', 'c19.344.400.500']"
multiple endocrine neoplasia type 2a,"['c04.588.322.400.505', 'c04.651.600.505', 'c04.700.630.505', 'c16.320.700.630.505', 'c19.344.400.505']"
multiple endocrine neoplasia type 2b,"['c04.588.322.400.510', 'c04.651.600.510', 'c04.700.630.510', 'c16.320.700.630.510', 'c19.344.400.510']"
ovarian neoplasms,"['c04.588.322.455', 'c13.351.500.056.630.705', 'c13.351.937.418.685', 'c19.344.410', 'c19.391.630.705']"
meigs syndrome,"['c04.588.322.455.531', 'c13.351.500.056.630.705.531', 'c13.351.937.418.685.531', 'c19.344.410.531', 'c19.391.630.705.531']"
paraneoplastic endocrine syndromes,"['c04.588.322.490', 'c04.730.713', 'c19.344.473']"
parathyroid neoplasms,"['c04.588.322.525', 'c04.588.443.680', 'c19.344.525', 'c19.642.713']"
pituitary neoplasms,"['c04.588.322.609', 'c04.588.614.250.195.885.500.600', 'c10.228.140.211.885.500.600', 'c10.228.140.617.477.600', 'c10.228.140.617.738.675', 'c10.551.240.250.700.500.500', 'c19.344.609', 'c19.700.734']"
nelson syndrome,"['c04.588.322.609.145.500', 'c10.228.140.617.738.675.149.500', 'c19.344.609.145.500', 'c19.700.734.145.500']"
testicular neoplasms,"['c04.588.322.762', 'c04.588.945.440.915', 'c12.294.260.937', 'c12.758.409.937', 'c19.344.762', 'c19.391.829.782']"
thyroid neoplasms,"['c04.588.322.894', 'c04.588.443.915', 'c19.344.894', 'c19.874.788']"
thyroid nodule,"['c04.588.322.894.800', 'c04.588.443.915.800', 'c19.344.894.800', 'c19.874.788.800']"
eye neoplasms,"['c04.588.364', 'c11.319']"
conjunctival neoplasms,"['c04.588.364.235', 'c11.187.169', 'c11.319.217']"
"paraneoplastic syndromes, ocular","['c04.588.364.738', 'c04.730.356', 'c11.319.466']"
retinal neoplasms,"['c04.588.364.818', 'c11.319.475', 'c11.768.717']"
uveal neoplasms,"['c04.588.364.978', 'c11.319.494', 'c11.941.855']"
choroid neoplasms,"['c04.588.364.978.223', 'c11.319.494.198', 'c11.941.160.238', 'c11.941.855.198']"
iris neoplasms,"['c04.588.364.978.400', 'c11.319.494.400', 'c11.941.375.375', 'c11.941.855.400']"
head and neck neoplasms,['c04.588.443']
facial neoplasms,['c04.588.443.392']
eyelid neoplasms,"['c04.588.443.392.500', 'c11.319.421', 'c11.338.526']"
mouth neoplasms,"['c04.588.443.591', 'c07.465.565']"
gingival neoplasms,"['c04.588.443.591.402', 'c07.465.565.402', 'c07.465.714.258.409']"
"leukoplakia, oral","['c04.588.443.591.545', 'c04.834.512.513', 'c07.465.565.545', 'c23.300.816.513']"
lip neoplasms,"['c04.588.443.591.550', 'c07.465.409.640', 'c07.465.565.550']"
salivary gland neoplasms,"['c04.588.443.591.824', 'c07.465.565.824', 'c07.465.815.718']"
parotid neoplasms,"['c04.588.443.591.824.695', 'c07.465.565.824.695', 'c07.465.815.470.770', 'c07.465.815.718.589']"
sublingual gland neoplasms,"['c04.588.443.591.824.882', 'c07.465.565.824.882', 'c07.465.815.718.870']"
submandibular gland neoplasms,"['c04.588.443.591.824.885', 'c07.465.565.824.885', 'c07.465.815.718.885', 'c07.465.815.882.500']"
tongue neoplasms,"['c04.588.443.591.925', 'c07.465.565.925', 'c07.465.910.874']"
otorhinolaryngologic neoplasms,"['c04.588.443.665', 'c09.647']"
ear neoplasms,"['c04.588.443.665.312', 'c09.218.334', 'c09.647.312']"
laryngeal neoplasms,"['c04.588.443.665.481', 'c08.360.369', 'c08.785.481', 'c09.400.369', 'c09.647.481']"
paranasal sinus neoplasms,"['c04.588.443.665.650.693', 'c08.460.669.693', 'c08.460.692.503', 'c08.785.600.693', 'c09.603.669.693', 'c09.603.692.503', 'c09.647.685.693']"
maxillary sinus neoplasms,"['c04.588.443.665.650.693.575', 'c08.460.669.693.575', 'c08.460.692.503.503', 'c08.785.600.693.575', 'c09.603.669.693.575', 'c09.603.692.503.503', 'c09.647.685.693.575']"
pharyngeal neoplasms,"['c04.588.443.665.710', 'c07.550.745', 'c09.647.710', 'c09.775.549']"
hypopharyngeal neoplasms,"['c04.588.443.665.710.485', 'c07.550.745.436', 'c09.647.710.485', 'c09.775.549.485']"
nasopharyngeal neoplasms,"['c04.588.443.665.710.650', 'c07.550.350.650', 'c07.550.745.650', 'c09.647.710.650', 'c09.775.350.650', 'c09.775.549.650']"
oropharyngeal neoplasms,"['c04.588.443.665.710.684', 'c07.550.745.671', 'c09.647.710.685', 'c09.775.549.685']"
tonsillar neoplasms,"['c04.588.443.665.710.684.800', 'c07.550.745.671.800', 'c09.647.710.685.800', 'c09.775.549.685.800']"
tracheal neoplasms,"['c04.588.443.925', 'c04.588.894.797.760', 'c08.785.760', 'c08.907.563']"
hematologic neoplasms,"['c04.588.448', 'c15.378.400']"
bone marrow neoplasms,"['c04.588.448.200', 'c15.378.190.250', 'c15.378.400.200']"
"mammary neoplasms, animal","['c04.588.531', 'c22.520']"
"mammary neoplasms, experimental","['c04.588.531.500', 'c04.619.590']"
nervous system neoplasms,"['c04.588.614', 'c10.551']"
central nervous system neoplasms,"['c04.588.614.250', 'c10.551.240']"
brain neoplasms,"['c04.588.614.250.195', 'c10.228.140.211', 'c10.551.240.250']"
cerebral ventricle neoplasms,"['c04.588.614.250.195.205', 'c10.228.140.211.280', 'c10.551.240.250.200']"
choroid plexus neoplasms,"['c04.588.614.250.195.205.200', 'c10.228.140.211.280.300', 'c10.551.240.250.200.200']"
"papilloma, choroid plexus","['c04.588.614.250.195.205.200.500', 'c10.228.140.211.280.300.500', 'c10.551.240.250.200.200.500']"
infratentorial neoplasms,"['c04.588.614.250.195.411', 'c10.228.140.211.500', 'c10.551.240.250.400']"
brain stem neoplasms,"['c04.588.614.250.195.411.100', 'c10.228.140.211.500.100', 'c10.551.240.250.400.200']"
cerebellar neoplasms,"['c04.588.614.250.195.411.211', 'c10.228.140.211.500.200', 'c10.228.140.252.200', 'c10.551.240.250.400.300']"
supratentorial neoplasms,"['c04.588.614.250.195.885', 'c10.228.140.211.885', 'c10.551.240.250.700']"
hypothalamic neoplasms,"['c04.588.614.250.195.885.500', 'c10.228.140.211.885.500', 'c10.228.140.617.477', 'c10.551.240.250.700.500']"
central nervous system cysts,"['c04.588.614.250.387', 'c10.500.142', 'c10.551.240.375', 'c16.131.666.142']"
meningeal neoplasms,"['c04.588.614.250.580', 'c10.551.240.500']"
meningeal carcinomatosis,"['c04.588.614.250.580.150', 'c10.551.240.500.150']"
spinal cord neoplasms,"['c04.588.614.250.803', 'c10.228.854.765', 'c10.551.240.750']"
epidural neoplasms,"['c04.588.614.250.803.342', 'c10.228.854.765.342', 'c10.551.240.750.200']"
cranial nerve neoplasms,"['c04.588.614.300', 'c04.588.614.596.240', 'c10.292.225', 'c10.551.360']"
optic nerve neoplasms,"['c04.588.614.300.600', 'c04.588.614.596.240.240', 'c10.292.225.800', 'c10.292.700.500', 'c10.551.360.500', 'c11.640.544']"
"paraneoplastic syndromes, nervous system","['c04.588.614.550', 'c04.730.856', 'c10.574.781']"
anti-n-methyl-d-aspartate receptor encephalitis,"['c04.588.614.550.112', 'c04.730.856.112', 'c10.228.140.430.124', 'c10.574.781.249', 'c20.111.258.124']"
lambert-eaton myasthenic syndrome,"['c04.588.614.550.225', 'c04.730.856.225', 'c10.114.468', 'c10.574.781.500', 'c10.668.758.450', 'c20.111.258.350', 'c20.111.580']"
limbic encephalitis,"['c04.588.614.550.450', 'c04.730.856.437', 'c10.228.140.430.525', 'c10.228.228.245.700', 'c10.574.781.550']"
"myelitis, transverse","['c04.588.614.550.550', 'c04.730.856.543', 'c10.114.375.600', 'c10.228.854.525.553', 'c10.314.350.600', 'c10.574.781.625', 'c20.111.258.250.550']"
opsoclonus-myoclonus syndrome,"['c04.588.614.550.600', 'c04.730.856.596', 'c10.228.758.500', 'c10.292.562.831', 'c10.574.781.662', 'c10.597.350.500.500', 'c11.590.725']"
paraneoplastic cerebellar degeneration,"['c04.588.614.550.650', 'c04.730.856.650', 'c10.228.140.252.620', 'c10.574.781.700']"
paraneoplastic polyneuropathy,"['c04.588.614.550.700', 'c04.730.856.700', 'c10.574.781.850', 'c10.668.829.800.662']"
peripheral nervous system neoplasms,"['c04.588.614.596', 'c10.551.775', 'c10.668.829.725']"
pelvic neoplasms,['c04.588.699']
skin neoplasms,"['c04.588.805', 'c17.800.882']"
sebaceous gland neoplasms,"['c04.588.805.578', 'c17.800.794.712', 'c17.800.882.712']"
muir-torre syndrome,"['c04.588.805.578.500', 'c04.700.250.500.500', 'c16.320.700.250.500.500', 'c17.800.794.712.500', 'c17.800.827.610', 'c17.800.882.712.500']"
sweat gland neoplasms,"['c04.588.805.776', 'c17.800.882.743', 'c17.800.946.743']"
soft tissue neoplasms,['c04.588.839']
muscle neoplasms,"['c04.588.839.500', 'c05.651.494']"
vascular neoplasms,"['c04.588.839.750', 'c14.907.936']"
splenic neoplasms,"['c04.588.842', 'c15.604.744.680']"
thoracic neoplasms,['c04.588.894']
heart neoplasms,"['c04.588.894.309', 'c14.280.459']"
mediastinal neoplasms,"['c04.588.894.479', 'c08.846.187.580']"
respiratory tract neoplasms,"['c04.588.894.797', 'c08.785']"
lung neoplasms,"['c04.588.894.797.520', 'c08.381.540', 'c08.785.520']"
bronchial neoplasms,"['c04.588.894.797.520.109', 'c08.127.265', 'c08.785.520.100']"
"carcinoma, bronchogenic","['c04.588.894.797.520.109.220', 'c08.381.540.140', 'c08.785.520.100.220']"
"carcinoma, non-small-cell lung","['c04.588.894.797.520.109.220.249', 'c08.381.540.140.500', 'c08.785.520.100.220.500']"
small cell lung carcinoma,"['c04.588.894.797.520.109.220.624', 'c08.381.540.140.750', 'c08.785.520.100.220.750']"
multiple pulmonary nodules,"['c04.588.894.797.520.237', 'c08.381.540.148', 'c08.785.520.148']"
pancoast syndrome,"['c04.588.894.797.520.734', 'c08.381.540.734', 'c08.785.520.734']"
pulmonary sclerosing hemangioma,"['c04.588.894.797.520.933', 'c08.381.540.867', 'c08.785.520.867']"
solitary pulmonary nodule,"['c04.588.894.797.520.966', 'c08.381.540.933', 'c08.381.884', 'c08.785.520.933']"
pleural neoplasms,"['c04.588.894.797.640', 'c08.528.694', 'c08.785.640']"
"pleural effusion, malignant","['c04.588.894.797.640.700', 'c08.528.652.700', 'c08.528.694.700', 'c08.785.640.700']"
thymus neoplasms,"['c04.588.894.949', 'c15.604.861']"
urogenital neoplasms,"['c04.588.945', 'c12.758', 'c13.351.937']"
"genital neoplasms, female","['c04.588.945.418', 'c13.351.937.418']"
fallopian tube neoplasms,"['c04.588.945.418.365', 'c13.351.500.056.390.390', 'c13.351.937.418.365']"
uterine neoplasms,"['c04.588.945.418.948', 'c13.351.500.852.762', 'c13.351.937.418.875']"
endometrial neoplasms,"['c04.588.945.418.948.585', 'c13.351.500.852.762.200', 'c13.351.937.418.875.200']"
uterine cervical neoplasms,"['c04.588.945.418.948.850', 'c13.351.500.852.593.131', 'c13.351.500.852.762.850', 'c13.351.937.418.875.850']"
vaginal neoplasms,"['c04.588.945.418.955', 'c13.351.500.894.834', 'c13.351.937.418.937']"
vulvar neoplasms,"['c04.588.945.418.968', 'c13.351.500.944.819', 'c13.351.937.418.968']"
"genital neoplasms, male","['c04.588.945.440', 'c12.294.260', 'c12.758.409']"
penile neoplasms,"['c04.588.945.440.715', 'c12.294.260.500', 'c12.294.494.591', 'c12.758.409.500']"
prostatic neoplasms,"['c04.588.945.440.770', 'c12.294.260.750', 'c12.294.565.625', 'c12.758.409.750']"
urologic neoplasms,"['c04.588.945.947', 'c12.758.820', 'c13.351.937.820']"
kidney neoplasms,"['c04.588.945.947.535', 'c12.758.820.750', 'c12.777.419.473', 'c13.351.937.820.535', 'c13.351.968.419.473']"
ureteral neoplasms,"['c04.588.945.947.940', 'c12.758.820.875', 'c12.777.725.676', 'c13.351.937.820.875', 'c13.351.968.725.676']"
urethral neoplasms,"['c04.588.945.947.945', 'c12.758.820.937', 'c12.777.767.601', 'c13.351.937.820.890', 'c13.351.968.767.601']"
urinary bladder neoplasms,"['c04.588.945.947.960', 'c12.758.820.968', 'c12.777.829.813', 'c13.351.937.820.945', 'c13.351.968.829.707']"
"venereal tumors, veterinary","['c04.588.945.956', 'c22.950']"
"neoplasms, experimental",['c04.619']
"carcinoma, brown-pearce",['c04.619.124']
"neoplasms, hormone-dependent",['c04.626']
"neoplasms, multiple primary",['c04.651']
"neoplasms, post-traumatic",['c04.666']
"neoplasms, radiation-induced","['c04.682', 'c26.733.476']"
"neoplasms, second primary",['c04.692']
neoplastic processes,"['c04.697', 'c23.550.727']"
anaplasia,"['c04.697.045', 'c23.550.727.045']"
"cell transformation, neoplastic","['c04.697.152', 'c23.550.727.152']"
"cell transformation, viral","['c04.697.152.160', 'c23.550.727.152.160']"
cocarcinogenesis,"['c04.697.160', 'c23.550.727.160']"
neoplasm invasiveness,"['c04.697.645', 'c23.550.727.645']"
leukemic infiltration,"['c04.697.645.500', 'c23.550.727.645.500']"
neoplasm metastasis,"['c04.697.650', 'c23.550.727.650']"
lymphatic metastasis,"['c04.697.650.560', 'c23.550.727.650.560']"
neoplasm micrometastasis,"['c04.697.650.695', 'c23.550.727.650.695']"
neoplasm seeding,"['c04.697.650.830', 'c23.550.727.650.830']"
"neoplasms, unknown primary","['c04.697.650.895', 'c23.550.727.650.895']"
"neoplastic cells, circulating","['c04.697.650.900', 'c23.550.727.650.900']"
"neoplasm recurrence, local","['c04.697.655', 'c23.550.727.655']"
"neoplasm regression, spontaneous","['c04.697.670', 'c23.550.727.670']"
"neoplasm, residual","['c04.697.700', 'c23.550.727.700']"
"neoplastic syndromes, hereditary","['c04.700', 'c16.320.700']"
birt-hogg-dube syndrome,"['c04.700.212', 'c16.320.700.212']"
lynch syndrome ii,"['c04.700.250.500', 'c16.320.700.250.500']"
li-fraumeni syndrome,"['c04.700.600', 'c16.320.700.600', 'c18.452.284.520']"
peutz-jeghers syndrome,"['c04.700.705', 'c06.405.469.578.750', 'c16.320.700.705', 'c17.800.621.430.530.550.625']"
paraneoplastic syndromes,['c04.730']
"acth syndrome, ectopic",['c04.730.713.317']
zollinger-ellison syndrome,"['c04.730.713.988', 'c06.301.371.883', 'c06.405.249.883', 'c06.405.469.965', 'c06.405.608.924', 'c06.405.748.947']"
precancerous conditions,['c04.834']
aberrant crypt foci,['c04.834.020']
erythroplasia,['c04.834.288']
"keratosis, actinic","['c04.834.450', 'c17.800.428.570']"
leukoplakia,"['c04.834.512', 'c23.300.816']"
preleukemia,"['c04.834.770', 'c15.378.800']"
uterine cervical dysplasia,"['c04.834.818', 'c13.351.500.852.593.074']"
xeroderma pigmentosum,"['c04.834.867', 'c16.131.831.936', 'c16.320.850.970', 'c17.800.600.925', 'c17.800.621.936', 'c17.800.804.936', 'c17.800.827.970', 'c18.452.284.975']"
"pregnancy complications, neoplastic","['c04.850', 'c13.703.720']"
musculoskeletal diseases,['c05']
bone diseases,['c05.116']
"bone diseases, developmental",['c05.116.099']
acro-osteolysis,"['c05.116.099.052', 'c05.116.264.579.052']"
hajdu-cheney syndrome,"['c05.116.099.052.400', 'c05.116.264.579.052.400', 'c16.131.621.445', 'c16.320.355']"
dwarfism,"['c05.116.099.343', 'c16.320.240', 'c19.297']"
achondroplasia,"['c05.116.099.343.110', 'c05.116.099.708.017', 'c16.320.240.500']"
thanatophoric dysplasia,"['c05.116.099.343.110.500', 'c05.116.099.708.017.500', 'c05.660.585.984', 'c16.131.621.585.984', 'c16.320.240.500.500', 'c16.614.890']"
cockayne syndrome,"['c05.116.099.343.250', 'c10.574.500.362', 'c16.131.077.250', 'c16.320.240.562', 'c16.320.400.200', 'c18.452.284.250']"
congenital hypothyroidism,"['c05.116.099.343.347', 'c05.116.132.256', 'c16.320.240.625', 'c19.297.155', 'c19.874.482.281']"
"dwarfism, pituitary","['c05.116.099.343.445', 'c05.116.132.358', 'c10.228.140.617.738.300.300', 'c19.297.312', 'c19.700.482.311']"
laron syndrome,"['c05.116.099.343.679', 'c16.320.240.750', 'c19.297.656']"
mulibrey nanism,"['c05.116.099.343.796', 'c16.320.240.875']"
weill-marchesani syndrome,"['c05.116.099.343.957', 'c05.116.099.875', 'c11.270.921', 'c16.131.077.941', 'c16.320.290.842', 'c16.320.887', 'c17.300.899']"
dysostoses,['c05.116.099.370']
craniofacial dysostosis,"['c05.116.099.370.231', 'c05.660.207.231', 'c16.131.621.207.231']"
hallermann's syndrome,"['c05.116.099.370.231.427', 'c05.660.207.231.427', 'c16.131.621.207.231.427']"
hypertelorism,"['c05.116.099.370.231.480', 'c05.660.207.231.480', 'c16.131.621.207.231.480']"
mandibulofacial dysostosis,"['c05.116.099.370.231.576', 'c05.660.207.231.576', 'c16.131.621.207.231.576']"
